,Driver,Position,Stint,Compound,LapNumber,LapTime,TyreLife,LapTimeSeconds,FullName,Color,CumulativeLapTime,SmallestCumulativeLapTime,IntervalToLeader,NormalizedIntervalToLeader
36,VER,1.0,2.0,HARD,37.0,0 days 00:01:23.250000,14.0,83.25,max verstappen,#0600ef,3136.315,3136.315,0.0,1.0
37,VER,1.0,2.0,HARD,38.0,0 days 00:01:23.470000,15.0,83.47,max verstappen,#0600ef,3219.785,3219.785,0.0,1.0
38,VER,1.0,2.0,HARD,39.0,0 days 00:01:24.143000,16.0,84.143,max verstappen,#0600ef,3303.928,3303.928,0.0,1.0
39,VER,1.0,2.0,HARD,40.0,0 days 00:01:23.705000,17.0,83.705,max verstappen,#0600ef,3387.633,3387.633,0.0,1.0
40,VER,1.0,2.0,HARD,41.0,0 days 00:01:23.023000,18.0,83.023,max verstappen,#0600ef,3470.656,3470.656,0.0,1.0
41,VER,1.0,2.0,HARD,42.0,0 days 00:01:23.309000,19.0,83.309,max verstappen,#0600ef,3553.965,3553.965,0.0,1.0
42,VER,1.0,2.0,HARD,43.0,0 days 00:01:23.338000,20.0,83.338,max verstappen,#0600ef,3637.303,3637.303,0.0,1.0
43,VER,1.0,2.0,HARD,44.0,0 days 00:01:23.772000,21.0,83.772,max verstappen,#0600ef,3721.075,3721.075,0.0,1.0
44,VER,1.0,2.0,HARD,45.0,0 days 00:01:23.930000,22.0,83.93,max verstappen,#0600ef,3805.005,3805.005,0.0,1.0
45,VER,1.0,2.0,HARD,46.0,0 days 00:01:23.639000,23.0,83.639,max verstappen,#0600ef,3888.644,3888.644,0.0,1.0
46,VER,1.0,2.0,HARD,47.0,0 days 00:01:23.608000,24.0,83.608,max verstappen,#0600ef,3972.252,3972.252,0.0,1.0
47,VER,1.0,2.0,HARD,48.0,0 days 00:01:23.487000,25.0,83.487,max verstappen,#0600ef,4055.739,4055.739,0.0,1.0
48,VER,1.0,2.0,HARD,49.0,0 days 00:01:23.822000,26.0,83.822,max verstappen,#0600ef,4139.561,4139.561,0.0,1.0
49,VER,1.0,2.0,HARD,50.0,0 days 00:01:23.782000,27.0,83.782,max verstappen,#0600ef,4223.343,4223.343,0.0,1.0
50,VER,1.0,2.0,HARD,51.0,0 days 00:01:26.210000,28.0,86.21,max verstappen,#0600ef,4309.553,4309.553,0.0,1.0
51,VER,1.0,3.0,MEDIUM,52.0,0 days 00:01:42.723000,4.0,102.723,max verstappen,#0600ef,4412.276,4412.276,0.0,1.0
52,VER,1.0,3.0,MEDIUM,53.0,0 days 00:01:20.504000,5.0,80.504,max verstappen,#0600ef,4492.78,4492.78,0.0,1.0
53,VER,1.0,3.0,MEDIUM,54.0,0 days 00:01:23.935000,6.0,83.935,max verstappen,#0600ef,4576.715,4576.715,0.0,1.0
54,VER,1.0,3.0,MEDIUM,55.0,0 days 00:01:22.847000,7.0,82.847,max verstappen,#0600ef,4659.562,4659.562,0.0,1.0
55,VER,1.0,3.0,MEDIUM,56.0,0 days 00:01:22.600000,8.0,82.6,max verstappen,#0600ef,4742.162,4742.162,0.0,1.0
56,VER,1.0,3.0,MEDIUM,57.0,0 days 00:01:22.425000,9.0,82.425,max verstappen,#0600ef,4824.5869999999995,4824.5869999999995,0.0,1.0
57,VER,1.0,3.0,MEDIUM,58.0,0 days 00:01:22.650000,10.0,82.65,max verstappen,#0600ef,4907.237,4907.237,0.0,1.0
58,VER,1.0,3.0,MEDIUM,59.0,0 days 00:01:21.880000,11.0,81.88,max verstappen,#0600ef,4989.117,4989.117,0.0,1.0
59,VER,1.0,3.0,MEDIUM,60.0,0 days 00:01:21.554000,12.0,81.554,max verstappen,#0600ef,5070.671,5070.671,0.0,1.0
60,VER,1.0,3.0,MEDIUM,61.0,0 days 00:01:21.520000,13.0,81.52,max verstappen,#0600ef,5152.191,5152.191,0.0,1.0
61,VER,1.0,3.0,MEDIUM,62.0,0 days 00:01:21.693000,14.0,81.693,max verstappen,#0600ef,5233.884,5233.884,0.0,1.0
62,VER,1.0,3.0,MEDIUM,63.0,0 days 00:01:21.772000,15.0,81.772,max verstappen,#0600ef,5315.656,5315.656,0.0,1.0
63,VER,1.0,3.0,MEDIUM,64.0,0 days 00:01:22.122000,16.0,82.122,max verstappen,#0600ef,5397.778,5397.778,0.0,1.0
